omega_m,lane,quantum_model,amplitude,method,l2_vs_rk4_ref,stable,blowup_near_turning
0.3075,alpha_qg,n/a,7.745966692414835e-07,euler,2.003449814212991,True,False
0.3075,alpha_qg,n/a,7.745966692414835e-07,heun,0.011760444541572566,True,False
0.3075,alpha_qg,n/a,7.745966692414835e-07,rk4,0.0005673995454835676,True,False
0.3075,bohmian_q,gaussian,7.745966692414835e-07,euler,0.10840988534296896,True,False
0.3075,bohmian_q,gaussian,7.745966692414835e-07,heun,0.001083132494063146,True,False
0.3075,bohmian_q,gaussian,7.745966692414835e-07,rk4,8.14146259192424e-05,True,False
0.3075,bohmian_q,plateau,7.745966692414835e-07,euler,0.1084093769458605,True,False
0.3075,bohmian_q,plateau,7.745966692414835e-07,heun,0.001083272742776327,True,False
0.3075,bohmian_q,plateau,7.745966692414835e-07,rk4,7.911843520883121e-05,True,False
0.3075,bohmian_q,unified_dmde_proxy,7.745966692414835e-07,euler,0.10840953202617064,True,False
0.3075,bohmian_q,unified_dmde_proxy,7.745966692414835e-07,heun,0.001083229626289431,True,False
0.3075,bohmian_q,unified_dmde_proxy,7.745966692414835e-07,rk4,7.981942325409092e-05,True,False
0.31,alpha_qg,n/a,7.745966692414835e-07,euler,9.297328265300653,True,False
0.31,alpha_qg,n/a,7.745966692414835e-07,heun,0.28014209238444016,True,False
0.31,alpha_qg,n/a,7.745966692414835e-07,rk4,0.021438361650568314,True,False
0.31,bohmian_q,gaussian,7.745966692414835e-07,euler,0.09161863934144682,True,False
0.31,bohmian_q,gaussian,7.745966692414835e-07,heun,0.0008950717995209709,True,False
0.31,bohmian_q,gaussian,7.745966692414835e-07,rk4,6.090015692068056e-05,True,False
0.31,bohmian_q,plateau,7.745966692414835e-07,euler,0.09161827136578747,True,False
0.31,bohmian_q,plateau,7.745966692414835e-07,heun,0.0008952769010828507,True,False
0.31,bohmian_q,plateau,7.745966692414835e-07,rk4,6.385257556987918e-05,True,False
0.31,bohmian_q,unified_dmde_proxy,7.745966692414835e-07,euler,0.09161838423752737,True,False
0.31,bohmian_q,unified_dmde_proxy,7.745966692414835e-07,heun,0.0008952170968840943,True,False
0.31,bohmian_q,unified_dmde_proxy,7.745966692414835e-07,rk4,6.307783747506566e-05,True,False
0.3125,alpha_qg,n/a,7.745966692414835e-07,euler,18.031336765423553,True,False
0.3125,alpha_qg,n/a,7.745966692414835e-07,heun,0.7049266842303232,True,False
0.3125,alpha_qg,n/a,7.745966692414835e-07,rk4,0.03820176294275006,True,False
0.3125,bohmian_q,gaussian,7.745966692414835e-07,euler,0.08000685187598118,True,False
0.3125,bohmian_q,gaussian,7.745966692414835e-07,heun,0.0007864402964593898,True,False
0.3125,bohmian_q,gaussian,7.745966692414835e-07,rk4,0.00010123826547270589,True,False
0.3125,bohmian_q,plateau,7.745966692414835e-07,euler,0.08000656545128038,True,False
0.3125,bohmian_q,plateau,7.745966692414835e-07,heun,0.0007860611450242706,True,False
0.3125,bohmian_q,plateau,7.745966692414835e-07,rk4,0.00010176709524598095,True,False
0.3125,bohmian_q,unified_dmde_proxy,7.745966692414835e-07,euler,0.08000665380514449,True,False
0.3125,bohmian_q,unified_dmde_proxy,7.745966692414835e-07,heun,0.0007861775621592113,True,False
0.3125,bohmian_q,unified_dmde_proxy,7.745966692414835e-07,rk4,0.00010159862119127209,True,False
0.315,alpha_qg,n/a,7.745966692414835e-07,euler,27.443023083140588,True,False
0.315,alpha_qg,n/a,7.745966692414835e-07,heun,1.2519458814183477,True,False
0.315,alpha_qg,n/a,7.745966692414835e-07,rk4,0.049464945497235305,True,False
0.315,bohmian_q,gaussian,7.745966692414835e-07,euler,0.07137802005812137,True,False
0.315,bohmian_q,gaussian,7.745966692414835e-07,heun,0.0006869736913325079,True,False
0.315,bohmian_q,gaussian,7.745966692414835e-07,rk4,0.00011345108834161195,False,False
0.315,bohmian_q,plateau,7.745966692414835e-07,euler,0.07138308069395356,True,False
0.315,bohmian_q,plateau,7.745966692414835e-07,heun,0.0011053161585449726,True,False
0.315,bohmian_q,plateau,7.745966692414835e-07,rk4,0.000872803152417962,False,False
0.315,bohmian_q,unified_dmde_proxy,7.745966692414835e-07,euler,0.07138347935514548,True,False
0.315,bohmian_q,unified_dmde_proxy,7.745966692414835e-07,heun,0.0011274626045504287,True,False
0.315,bohmian_q,unified_dmde_proxy,7.745966692414835e-07,rk4,0.0009006549987350048,False,False
